address,price,beds,baths,sqft
"2105-42 Charles Street E, Toronto, ON",499999,1 bed,1 bath,0-499 sqft
"8 Weetwood Street, Toronto, ON",2768000,3 bed,4 bath,2000-2500 sqft
"90 Merkley Square, Toronto, ON",1000000,6+2 bed,4 bath,2500-3000 sqft
"1607-11 Lee Centre Drive, Toronto, ON",534900,2 bed,2 bath,800-899 sqft
"412 Wellesley Street E, Toronto, ON",1895000,2+2 bed,3 bath,1500-2000 sqft
"14 Jellicoe Avenue, Toronto, ON",999900,3+1 bed,2 bath,700-1100 sqft
"331 Connaught Avenue, Toronto, ON",2588000,4+1 bed,6 bath,3500-5000 sqft
"304-195 Wynford Drive, Toronto, ON",779800,2+1 bed,2 bath,1400-1599 sqft
"4104-56 Annie Craig Drive, Toronto, ON",729000,2 bed,2 bath,700-799 sqft
"N1009-120 Bayview Avenue, Toronto, ON",699000,2 bed,2 bath,800-899 sqft
"251 St Clarens Avenue, Toronto, ON",1949000,3+1 bed,4 bath,2000-2500 sqft
"217-215 Fort York Boulevard, Toronto, ON",695000,1+1 bed,1 bath,600-699 sqft
