address,price,beds,baths,sqft,TotalBeds,TotalBaths,CleanedSqft,full_bed,half_bed
"822-1100 Sheppard Avenue W, Toronto, ON",540000.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"1306-120 Harrison Gardens Boulevard, Toronto, ON",599880.0,2,2,700-799,2.0,2.0,750.0,2,0
"70 Wexford Boulevard, Toronto, ON",1299000.0,3+2,2,1100-1500,5.0,2.0,1300.0,3,2
"73 Maresfield Drive, Toronto, ON",1099000.0,3+1,3,1100-1500,4.0,3.0,1300.0,3,1
"2205-131 Torresdale Avenue, Toronto, ON",619000.0,2+1,2,1400-1599,3.0,2.0,1500.0,2,1
"PH2-736 Dundas Street E, Toronto, ON",1019000.0,1+1,1,800-899,2.0,1.0,850.0,1,1
"1029-39 Queens Quay E, Toronto, ON",599000.0,1,1,500-599,1.0,1.0,550.0,1,0
"803-16 Mcadam Avenue, Toronto, ON",624900.0,2,2,800-899,2.0,2.0,850.0,2,0
"2708-36 Park Lawn Road, Toronto, ON",585000.0,1,1,600-699,1.0,1.0,650.0,1,0
"8-10 Thistle Down Boulevard, Toronto, ON",2950000.0,8+7,4,700-1100,15.0,4.0,900.0,8,7
"1 Hickory Tree Road, Toronto, ON",449000.0,1+1,1,700-799,2.0,1.0,750.0,1,1
"88 Yardley Avenue, Toronto, ON",2649000.0,4+2,6,2000-2500,6.0,6.0,2250.0,4,2
"294 Douglas Drive, Toronto, ON",2895000.0,3,3,2000-2500,3.0,3.0,2250.0,3,0
"801-225 Bamburgh Circle, Toronto, ON",588000.0,2+1,2,1200-1399,3.0,2.0,1300.0,2,1
"907-3121 Sheppard Avenue N/a E, Toronto, ON",529000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"43 Hartfield Road, Toronto, ON",2299000.0,2+2,2,1100-1500,4.0,2.0,1300.0,2,2
"1107-285 Mutual Street, Toronto, ON",749900.0,1+1,1,700-799,2.0,1.0,750.0,1,1
"1504-5949 Yonge Street, Toronto, ON",339000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"1020-19 Western Battery Road, Toronto, ON",579000.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"403-1001 Bay Street, Toronto, ON",968800.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"15 Beresford Avenue, Toronto, ON",2895000.0,4+1,5,2000-2500,5.0,5.0,2250.0,4,1
"21 Yewfield Crescent, Toronto, ON",2500000.0,3+3,3,2500-3000,6.0,3.0,2750.0,3,3
"95 Great Oak Drive, Toronto, ON",3499000.0,4,5,3000-3500,4.0,5.0,3250.0,4,0
"1806-20 Minowan Miikan Lane, Toronto, ON",628000.0,1,1,600-699,1.0,1.0,650.0,1,0
"20-3 Reidmount Avenue, Toronto, ON",838880.0,3+1,4,1800-1999,4.0,4.0,1900.0,3,1
"6102-10 York Street, Toronto, ON",719900.0,1+1,2,700-799,2.0,2.0,750.0,1,1
"TH39-9 Oakburn Crescent, Toronto, ON",1249000.0,2+2,3,1600-1799,4.0,3.0,1700.0,2,2
"2-8 Marquette Avenue, Toronto, ON",789000.0,2,2,800-899,2.0,2.0,850.0,2,0
"203 Churchill Avenue, Toronto, ON",1628000.0,3,1,1100-1500,3.0,1.0,1300.0,3,0
"1507-188 Fairview Mall Drive E, Toronto, ON",669000.0,2,1,800-899,2.0,1.0,850.0,2,0
"801-2550 Pharmacy Avenue, Toronto, ON",439000.0,2,1,1000-1199,2.0,1.0,1100.0,2,0
"3804-10 Park Lawn Road, Toronto, ON",699900.0,2,2,700-799,2.0,2.0,750.0,2,0
"1113-89 Skymark Drive, Toronto, ON",1290000.0,3+1,3,2000-2249,4.0,3.0,2124.0,3,1
"3215-138 Downes Street, Toronto, ON",488000.0,1,1,500-599,1.0,1.0,550.0,1,0
"105 Hogarth Avenue, Toronto, ON",1500000.0,3,2,1100-1500,3.0,2.0,1300.0,3,0
"5206-70 Temperance Street, Toronto, ON",798000.0,2,2,700-799,2.0,2.0,750.0,2,0
"713-2212 Lakeshore Boulevard W, Toronto, ON",499000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"1906-8 Olympic Gdn S Drive, Toronto, ON",749900.0,2+1,2,600-699,3.0,2.0,650.0,2,1
"357 Rustic Road, Toronto, ON",1177000.0,3+2,2,700-1100,5.0,2.0,900.0,3,2
"643 Shaw Street, Toronto, ON",2189000.0,3+1,3,1500-2000,4.0,3.0,1750.0,3,1
"306-183 Dovercourt Road, Toronto, ON",1550000.0,2+1,2,1400-1599,3.0,2.0,1500.0,2,1
"2801-181 Dundas Street E, Toronto, ON",499900.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"5202-30 Shore Breeze Drive, Toronto, ON",769000.0,2,1,600-699,2.0,1.0,650.0,2,0
"1817-35 Bastion Street, Toronto, ON",499900.0,1,1,500-599,1.0,1.0,550.0,1,0
"119A-700 Humberwood Boulevard, Toronto, ON",399999.0,1,1,600-699,1.0,1.0,650.0,1,0
"506 Pape Avenue, Toronto, ON",1499000.0,4+1,3,1500-2000,5.0,3.0,1750.0,4,1
"3 Ridgemount Road, Toronto, ON",1700000.0,3+2,4,1100-1500,5.0,4.0,1300.0,3,2
"139 Eastbourne Avenue, Toronto, ON",2895000.0,4+2,4,2500-3000,6.0,4.0,2750.0,4,2
"1210-88 Park Lawn Road, Toronto, ON",659000.0,2,2,700-799,2.0,2.0,750.0,2,0
"1505-203 College Street, Toronto, ON",808000.0,1+1,2,500-599,2.0,2.0,550.0,1,1
"16-1393 Royal York Road, Toronto, ON",950000.0,3,3,1200-1399,3.0,3.0,1300.0,3,0
"819C Oxford Street, Toronto, ON",1189888.0,3+1,3,2000-2500,4.0,3.0,2250.0,3,1
"415 Symington Avenue, Toronto, ON",990000.0,4+3,2,1500-2000,7.0,2.0,1750.0,4,3
"175 Floyd Avenue, Toronto, ON",2599000.0,4+1,5,2500-3000,5.0,5.0,2750.0,4,1
"1155-313 Richmond Street E, Toronto, ON",529900.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"2 Ivor Road, Toronto, ON",3588000.0,4+1,5,3000-3500,5.0,5.0,3250.0,4,1
"62 Dallimore Circle, Toronto, ON",1148000.0,3,4,1500-2000,3.0,4.0,1750.0,3,0
"1710E-1926 Lake Shore Boulevard, Toronto, ON",1175000.0,3,2,900-999,3.0,2.0,950.0,3,0
