address,price,beds,baths,sqft,TotalBeds,TotalBaths,CleanedSqft,full_bed,half_bed
"201E-500 Queens Quay N/a W, Toronto, ON",1380000.0,2,2,1200-1399,2.0,2.0,1300.0,2,0
"43 Manor Road E, Toronto, ON",2095000.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"20 Mayall Avenue, Toronto, ON",979000.0,4+1,3,1500-2000,5.0,3.0,1750.0,4,1
"1B-8 Rosebank Drive, Toronto, ON",459000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"313-21 Hillcrest Avenue, Toronto, ON",485000.0,1,1,600-699,1.0,1.0,650.0,1,0
"3508-2200 Lake Shore Boulevard W, Toronto, ON",535800.0,1+1,1,0-499,2.0,1.0,250.0,1,1
"148 Cleanside Road, Toronto, ON",859000.0,4,3,1500-2000,4.0,3.0,1750.0,4,0
"601-260 Merton Street, Toronto, ON",739000.0,2,2,800-899,2.0,2.0,850.0,2,0
"1606-430 Mclevin Avenue, Toronto, ON",449999.0,1,1,800-899,1.0,1.0,850.0,1,0
"101-1400 Kingston Road, Toronto, ON",548500.0,1,1,500-599,1.0,1.0,550.0,1,0
"1818-251 Jarvis Street, Toronto, ON",449000.0,1,1,0-499,1.0,1.0,250.0,1,0
"2003-25 Grenville Street S, Toronto, ON",649999.0,1+1,1,800-899,2.0,1.0,850.0,1,1
"683 Manning Avenue, Toronto, ON",1899000.0,4+1,5,1500-2000,5.0,5.0,1750.0,4,1
"1308-8 Mercer Street, Toronto, ON",950000.0,3,2,900-999,3.0,2.0,950.0,3,0
"309-99 Hayden Street, Toronto, ON",724900.0,2,2,700-799,2.0,2.0,750.0,2,0
"713-7 Bishop Avenue, Toronto, ON",429000.0,1,1,0-499,1.0,1.0,250.0,1,0
"63-617 Rathburn Road, Toronto, ON",849000.0,3,2,1200-1399,3.0,2.0,1300.0,3,0
"606-455 Wellington Street W, Toronto, ON",2099000.0,2+1,3,1600-1799,3.0,3.0,1700.0,2,1
"754 Manning Avenue, Toronto, ON",1499000.0,3+1,3,1500-2000,4.0,3.0,1750.0,3,1
"2508-319 Jarvis Street, Toronto, ON",759000.0,2,2,600-699,2.0,2.0,650.0,2,0
"2105-42 Charles Street E, Toronto, ON",499999.0,1,1,0-499,1.0,1.0,250.0,1,0
"8 Weetwood Street, Toronto, ON",2768000.0,3,4,2000-2500,3.0,4.0,2250.0,3,0
"90 Merkley Square, Toronto, ON",1000000.0,6+2,4,2500-3000,8.0,4.0,2750.0,6,2
"1607-11 Lee Centre Drive, Toronto, ON",534900.0,2,2,800-899,2.0,2.0,850.0,2,0
"412 Wellesley Street E, Toronto, ON",1895000.0,2+2,3,1500-2000,4.0,3.0,1750.0,2,2
"14 Jellicoe Avenue, Toronto, ON",999900.0,3+1,2,700-1100,4.0,2.0,900.0,3,1
"331 Connaught Avenue, Toronto, ON",2588000.0,4+1,6,3500-5000,5.0,6.0,4250.0,4,1
"304-195 Wynford Drive, Toronto, ON",779800.0,2+1,2,1400-1599,3.0,2.0,1500.0,2,1
"4104-56 Annie Craig Drive, Toronto, ON",729000.0,2,2,700-799,2.0,2.0,750.0,2,0
"N1009-120 Bayview Avenue, Toronto, ON",699000.0,2,2,800-899,2.0,2.0,850.0,2,0
"251 St Clarens Avenue, Toronto, ON",1949000.0,3+1,4,2000-2500,4.0,4.0,2250.0,3,1
"217-215 Fort York Boulevard, Toronto, ON",695000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"PH1411-629 King St W Street, Toronto, ON",699000.0,1,2,700-799,1.0,2.0,750.0,1,0
"58 Columbine Avenue, Toronto, ON",2149000.0,4+1,4,1500-2000,5.0,4.0,1750.0,4,1
"411-3091 Dufferin Street, Toronto, ON",478888.0,1,1,500-599,1.0,1.0,550.0,1,0
"375 Huntsmill Boulevard, Toronto, ON",1359888.0,3,3,2000-2500,3.0,3.0,2250.0,3,0
"129-1 Benvenuto Place, Toronto, ON",1095000.0,1+1,1,900-999,2.0,1.0,950.0,1,1
"717-275 Village Green Square, Toronto, ON",425000.0,1,1,0-499,1.0,1.0,250.0,1,0
"807-9 Burnhamthorpe Crescent, Toronto, ON",2150000.0,2+1,2,1600-1799,3.0,2.0,1700.0,2,1
"130 Gennela Square, Toronto, ON",1088800.0,3+2,4,1500-2000,5.0,4.0,1750.0,3,2
"377 Armadale Avenue, Toronto, ON",1675000.0,4+1,2,1100-1500,5.0,2.0,1300.0,4,1
"204 Ashdale Avenue, Toronto, ON",1399900.0,3,2,1500-2000,3.0,2.0,1750.0,3,0
"#G14-288 Mill Road, Toronto, ON",735000.0,3,3,1400-1599,3.0,3.0,1500.0,3,0
"101-1 Clairtrell Road, Toronto, ON",499000.0,1,1,600-699,1.0,1.0,650.0,1,0
"213-8 Gladstone Avenue, Toronto, ON",859000.0,1+1,2,800-899,2.0,2.0,850.0,1,1
"418-120 Harrison Garden Boulevard, Toronto, ON",599000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"2608-10 Yonge Street, Toronto, ON",689900.0,1+1,1,700-799,2.0,1.0,750.0,1,1
"604-10 Markbrook Lane, Toronto, ON",523900.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"106-1733 Queen Street E, Toronto, ON",899000.0,2+1,2,900-999,3.0,2.0,950.0,2,1
"161-1044A Islington Avenue, Toronto, ON",1129900.0,3,3,1800-1999,3.0,3.0,1900.0,3,0
"50-2315 Sheppard Avenue W, Toronto, ON",699000.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"416-105 The Queens Way W, Toronto, ON",549900.0,1+1,1,700-799,2.0,1.0,750.0,1,1
"21 Cowan Avenue, Toronto, ON",1659000.0,4,3,1500-2000,4.0,3.0,1750.0,4,0
"244 Rosethorn Avenue, Toronto, ON",830000.0,2+2,2,700-1100,4.0,2.0,900.0,2,2
"314-70 Roehampton Avenue, Toronto, ON",1200000.0,2,3,1200-1399,2.0,3.0,1300.0,2,0
"1807-66 Forest Manor Road, Toronto, ON",669000.0,1+1,2,700-799,2.0,2.0,750.0,1,1
"2402-61 Town Centre Court, Toronto, ON",649900.0,3,2,1200-1399,3.0,2.0,1300.0,3,0
"PH203-460 Adelaide Street E, Toronto, ON",928000.0,2,2,800-899,2.0,2.0,850.0,2,0
"43 Ernest Avenue, Toronto, ON",1398000.0,3+1,3,1500-2000,4.0,3.0,1750.0,3,1
"8 Chandler Drive, Toronto, ON",999000.0,3+3,3,1100-1500,6.0,3.0,1300.0,3,3
"1303-20 Edward Street, Toronto, ON",1345000.0,3,2,1000-1199,3.0,2.0,1100.0,3,0
"525-1830 Bloor Street W, Toronto, ON",1098000.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"332-6 Drummond Street, Toronto, ON",865000.0,2,2,1200-1399,2.0,2.0,1300.0,2,0
"47 Potsdam Road, Toronto, ON",1199900.0,3,3,1500-2000,3.0,3.0,1750.0,3,0
"61 Hallam Street, Toronto, ON",1050000.0,4,3,2000-2500,4.0,3.0,2250.0,4,0
"50 Watson Avenue, Toronto, ON",1499000.0,3,3,1100-1500,3.0,3.0,1300.0,3,0
"1218-87 Peter Street, Toronto, ON",548000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"SPH11-117 Mcmahon Drive, Toronto, ON",649000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"31 Norbert Crescent, Toronto, ON",1690900.0,4,3,2500-3000,4.0,3.0,2750.0,4,0
"61 Gwynne Avenue, Toronto, ON",1699000.0,3,2,1500-2000,3.0,2.0,1750.0,3,0
"701-15 James Finlay Way, Toronto, ON",549000.0,1+1,2,700-799,2.0,2.0,750.0,1,1
"1501-77 Charles Street, Toronto, ON",2599000.0,2,2,1400-1599,2.0,2.0,1500.0,2,0
"81 Anthony Road, Toronto, ON",1199000.0,2+1,2,2000-2500,3.0,2.0,2250.0,2,1
"2116-370 Dixon Road, Toronto, ON",419000.0,2,1,1000-1199,2.0,1.0,1100.0,2,0
"259 Silverthorn Avenue, Toronto, ON",879000.0,3,2,700-1100,3.0,2.0,900.0,3,0
"619-33 Frederick Todd Way, Toronto, ON",624900.0,1+1,2,700-799,2.0,2.0,750.0,1,1
"40 Hoyle Avenue, Toronto, ON",4350000.0,4+1,5,2500-3000,5.0,5.0,2750.0,4,1
"121 Cultra Square, Toronto, ON",1049999.0,3+2,2,700-1100,5.0,2.0,900.0,3,2
"64 Saybrook Avenue, Toronto, ON",1499900.0,3,2,1100-1500,3.0,2.0,1300.0,3,0
"3 Edgewood Gardens, Toronto, ON",1799000.0,3+1,3,2000-2500,4.0,3.0,2250.0,3,1
"47 Lindner Street, Toronto, ON",849000.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"8 Cromer Place, Toronto, ON",1099999.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"111 Blackthorn Avenue, Toronto, ON",999000.0,3,2,1100-1500,3.0,2.0,1300.0,3,0
"306-32 Davenport Road, Toronto, ON",565000.0,1,1,0-499,1.0,1.0,250.0,1,0
"2213-5 Northtown Way, Toronto, ON",958888.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"1004-30 Old Mill Road, Toronto, ON",2998000.0,2,2,1800-1999,2.0,2.0,1900.0,2,0
"913-169 Fort York Boulevard, Toronto, ON",429000.0,1,1,0-499,1.0,1.0,250.0,1,0
"405-495 Logan Avenue, Toronto, ON",899000.0,2,2,900-999,2.0,2.0,950.0,2,0
"226-415 Jarvis Street, Toronto, ON",639900.0,2,1,600-699,2.0,1.0,650.0,2,0
"204-56 Forest Manor Road, Toronto, ON",595000.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"475 Winona Drive, Toronto, ON",1395000.0,5,3,2000-2500,5.0,3.0,2250.0,5,0
"200 Belgravia Avenue, Toronto, ON",1295000.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"261 Glebemount Avenue, Toronto, ON",1149900.0,3+1,3,700-1100,4.0,3.0,900.0,3,1
"115 Northcrest Road, Toronto, ON",899000.0,4,3,1500-2000,4.0,3.0,1750.0,4,0
"502-60 Haslett Avenue Road, Toronto, ON",1099000.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"312-3311 Kingston Road, Toronto, ON",378000.0,1,1,600-699,1.0,1.0,650.0,1,0
"155 Major Street, Toronto, ON",1659800.0,4,2,1100-1500,4.0,2.0,1300.0,4,0
"517-199 Richmond Street, Toronto, ON",699900.0,1+1,2,700-799,2.0,2.0,750.0,1,1
"199 Sweeney Drive, Toronto, ON",1099000.0,3,3,1100-1500,3.0,3.0,1300.0,3,0
"27 Granada Crescent, Toronto, ON",899000.0,3,2,1100-1500,3.0,2.0,1300.0,3,0
"4 Strathcona Avenue, Toronto, ON",1199000.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"188 Duplex Avenue, Toronto, ON",4368888.0,4+1,6,3000-3500,5.0,6.0,3250.0,4,1
"26 Guestville Avenue, Toronto, ON",1099900.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"229-11 Foundry Avenue, Toronto, ON",995000.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"236-30 Shore Breeze Drive, Toronto, ON",669000.0,2,1,700-799,2.0,1.0,750.0,2,0
"1701-18 Kenaston Gardens, Toronto, ON",575000.0,1,1,500-599,1.0,1.0,550.0,1,0
"4905-395 Bloor Street E, Toronto, ON",569000.0,2,1,600-699,2.0,1.0,650.0,2,0
"1007-330 Dixon Road, Toronto, ON",399000.0,3,2,1000-1199,3.0,2.0,1100.0,3,0
"2101-85 East Liberty Street, Toronto, ON",859000.0,2+1,2,900-999,3.0,2.0,950.0,2,1
"2107-360 Ridelle Avenue, Toronto, ON",599000.0,3,2,1000-1199,3.0,2.0,1100.0,3,0
"4405-832 Bay Street, Toronto, ON",1048488.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"60 Bards Walkway N/a, Toronto, ON",838900.0,3,3,1800-1999,3.0,3.0,1900.0,3,0
"132 Laurel Avenue, Toronto, ON",897990.0,3+2,3,700-1100,5.0,3.0,900.0,3,2
"206 Berkeley Street, Toronto, ON",899000.0,2,2,1100-1500,2.0,2.0,1300.0,2,0
"5 Ice Cream Lane, Toronto, ON",799900.0,3,3,1100-1500,3.0,3.0,1300.0,3,0
"3 Jodphur Avenue, Toronto, ON",998800.0,3+3,3,700-1100,6.0,3.0,900.0,3,3
"69 Forman Avenue, Toronto, ON",1299000.0,3,2,700-1100,3.0,2.0,900.0,3,0
"109-600 Eglinton Avenue E, Toronto, ON",774900.0,2,2,1200-1399,2.0,2.0,1300.0,2,0
"402-1331 Bay Street, Toronto, ON",1369000.0,2,2,1400-1599,2.0,2.0,1500.0,2,0
"1504-251 Manitoba Street, Toronto, ON",710000.0,2,2,700-799,2.0,2.0,750.0,2,0
"2616-8 Park Road, Toronto, ON",498000.0,1,1,500-599,1.0,1.0,550.0,1,0
"710-190 Manitoba Street, Toronto, ON",649900.0,2,2,900-999,2.0,2.0,950.0,2,0
"2504-15 Holmes Avenue, Toronto, ON",978000.0,3,2,900-999,3.0,2.0,950.0,3,0
"305-2087 Lake Shore Boulevard W, Toronto, ON",749000.0,2,2,900-999,2.0,2.0,950.0,2,0
"A-144 Winston Park Boulevard, Toronto, ON",1550000.0,4,4,1500-2000,4.0,4.0,1750.0,4,0
"27 Northampton Drive, Toronto, ON",999900.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"13 Balmoral Avenue, Toronto, ON",3488000.0,3,4,2500-3000,3.0,4.0,2750.0,3,0
"107-3560 St Clair Avenue E, Toronto, ON",588000.0,2,2,700-799,2.0,2.0,750.0,2,0
"712-199 Richmond Street W, Toronto, ON",729900.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"1108-8 Charlotte Street, Toronto, ON",579999.0,1,1,0-499,1.0,1.0,250.0,1,0
"601-900 Yonge Street, Toronto, ON",999000.0,2,2,1400-1599,2.0,2.0,1500.0,2,0
"707-5 Northtown Way, Toronto, ON",528000.0,1,1,600-699,1.0,1.0,650.0,1,0
"3204-110 Charles Street E, Toronto, ON",695000.0,1+1,1,700-799,2.0,1.0,750.0,1,1
"435 Cummer Avenue, Toronto, ON",1398000.0,3+2,3,1100-1500,5.0,3.0,1300.0,3,2
"36 Mantello Drive, Toronto, ON",799000.0,2+1,2,1100-1500,3.0,2.0,1300.0,2,1
"2403-60 Heintzman Street, Toronto, ON",695000.0,2+1,1,700-799,3.0,1.0,750.0,2,1
"102-110 Canon Jackson Drive, Toronto, ON",999000.0,3,4,1600-1799,3.0,4.0,1700.0,3,0
"901-50 Forest Manor Road, Toronto, ON",619000.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"128 Harewood Avenue, Toronto, ON",1349000.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"1810-381 Front Street W, Toronto, ON",1199000.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"67 Langley Avenue, Toronto, ON",1349000.0,3+1,2,1500-2000,4.0,2.0,1750.0,3,1
"604-50 Lynn Williams Street, Toronto, ON",789999.0,2,2,700-799,2.0,2.0,750.0,2,0
"24 Dunmurray Boulevard, Toronto, ON",1298800.0,4,3,2000-2500,4.0,3.0,2250.0,4,0
"3602-17 Bathurst Street, Toronto, ON",899900.0,3,2,900-999,3.0,2.0,950.0,3,0
"508-35 Fontenay Court, Toronto, ON",609000.0,1,2,700-799,1.0,2.0,750.0,1,0
"PH02-10 Meadowglen Place, Toronto, ON",569000.0,2,2,600-699,2.0,2.0,650.0,2,0
"256 Haddington Avenue, Toronto, ON",2888000.0,4+1,6,3000-3500,5.0,6.0,3250.0,4,1
"90 Birchmount Road, Toronto, ON",999000.0,2+2,2,700-1100,4.0,2.0,900.0,2,2
"317 Richview Avenue, Toronto, ON",4279000.0,4+1,5,2500-3000,5.0,5.0,2750.0,4,1
"241 Forest Hill Road, Toronto, ON",4100000.0,4+2,4,2000-2500,6.0,4.0,2250.0,4,2
"5 Grandview Avenue, Toronto, ON",1699900.0,3+1,3,1500-2000,4.0,3.0,1750.0,3,1
"157 Pleasant View Drive, Toronto, ON",1598000.0,4+2,4,2000-2500,6.0,4.0,2250.0,4,2
"90 Meighen Avenue, Toronto, ON",799000.0,2+1,2,700-1100,3.0,2.0,900.0,2,1
"341 Clinton Street, Toronto, ON",1459000.0,3,3,1100-1500,3.0,3.0,1300.0,3,0
"84 Ecclesfield Drive, Toronto, ON",1000000.0,3,4,1500-2000,3.0,4.0,1750.0,3,0
"3410-80 John Street, Toronto, ON",799000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"9-8 Corinth Gardens, Toronto, ON",499000.0,2,1,700-799,2.0,1.0,750.0,2,0
"8 Doncaster Avenue, Toronto, ON",899000.0,3,1,1100-1500,3.0,1.0,1300.0,3,0
"320-62 Niagara Street, Toronto, ON",1249000.0,1+1,2,1000-1199,2.0,2.0,1100.0,1,1
"401-650 Sheppard Avenue E, Toronto, ON",549000.0,1,1,500-599,1.0,1.0,550.0,1,0
"50 Cuffley Crescent N, Toronto, ON",2399900.0,8+3,7,3500-5000,11.0,7.0,4250.0,8,3
"TH 52-220 Brandon Avenue, Toronto, ON",1249900.0,3+1,3,1500-2000,4.0,3.0,1750.0,3,1
"43 Bethnal Avenue, Toronto, ON",999000.0,2,2,1100-1500,2.0,2.0,1300.0,2,0
"54 Newlands Avenue, Toronto, ON",949900.0,3+2,2,700-1100,5.0,2.0,900.0,3,2
"209-601 Kingston Road, Toronto, ON",459900.0,1,1,500-599,1.0,1.0,550.0,1,0
"510-295 Adelaide Street W, Toronto, ON",688000.0,2,2,700-799,2.0,2.0,750.0,2,0
"2205-2A Church Street, Toronto, ON",949000.0,2,2,900-999,2.0,2.0,950.0,2,0
"71 Bertha Avenue, Toronto, ON",1079000.0,3+2,2,700-1100,5.0,2.0,900.0,3,2
"17 Frost Street, Toronto, ON",1178000.0,3+2,3,1100-1500,5.0,3.0,1300.0,3,2
"D-27 Glen Agar Drive, Toronto, ON",2349888.0,3,4,3000-3500,3.0,4.0,3250.0,3,0
"82 Pinewood Avenue, Toronto, ON",2880000.0,4,4,1500-2000,4.0,4.0,1750.0,4,0
"188 Fairlawn Avenue, Toronto, ON",1699000.0,3+1,3,1100-1500,4.0,3.0,1300.0,3,1
"13 Joseph Salsberg Lane, Toronto, ON",1249000.0,3,2,1500-2000,3.0,2.0,1750.0,3,0
"89 Charleswood Drive, Toronto, ON",1295000.0,2,3,700-1100,2.0,3.0,900.0,2,0
"216-8 Dovercourt Road, Toronto, ON",655000.0,1,1,600-699,1.0,1.0,650.0,1,0
"3002-33 Mill Street, Toronto, ON",2950000.0,3+1,3,2500-2749,4.0,3.0,2624.0,3,1
"108 Flaming Rose Way, Toronto, ON",599000.0,3,3,1400-1599,3.0,3.0,1500.0,3,0
"1105-90 Ling Road, Toronto, ON",435000.0,2,1,900-999,2.0,1.0,950.0,2,0
"1412-155 Yorkville Avenue, Toronto, ON",519800.0,1,1,0-499,1.0,1.0,250.0,1,0
"117 Parkview Hill Crescent, Toronto, ON",2599999.0,4+3,6,2500-3000,7.0,6.0,2750.0,4,3
"743 Glencairn Avenue, Toronto, ON",3259900.0,4+2,6,2500-3000,6.0,6.0,2750.0,4,2
"714-25 Neighbourhood Lane, Toronto, ON",944990.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"1204-10 Wilby Crescent, Toronto, ON",528000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"249 Clinton Street, Toronto, ON",1799000.0,3,2,1500-2000,3.0,2.0,1750.0,3,0
"23 Morland Road, Toronto, ON",999000.0,4+1,3,1100-1500,5.0,3.0,1300.0,4,1
"89 Portage Avenue, Toronto, ON",1498000.0,4,4,2500-3000,4.0,4.0,2750.0,4,0
"1715-1001 Bay Street, Toronto, ON",899900.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"2908-85 Wood Street, Toronto, ON",568000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"420-801 King Street W, Toronto, ON",569000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"#12 B-801 King Street W, Toronto, ON",710000.0,1,1,500-599,1.0,1.0,550.0,1,0
"1081 Islington Avenue, Toronto, ON",1549999.0,3,1,1100-1500,3.0,1.0,1300.0,3,0
"23 Edwin Avenue, Toronto, ON",1150000.0,4+1,3,1100-1500,5.0,3.0,1300.0,4,1
"356 Dupont Street, Toronto, ON",1598000.0,4+2,3,1500-2000,6.0,3.0,1750.0,4,2
"15 Vassar Drive, Toronto, ON",1149900.0,3,2,1100-1500,3.0,2.0,1300.0,3,0
"803-4208 Dundas Street W, Toronto, ON",789000.0,2,2,800-899,2.0,2.0,850.0,2,0
"511-25 Laidlaw Street, Toronto, ON",1249000.0,3,2,1600-1799,3.0,2.0,1700.0,3,0
"11-2063 Weston Road W, Toronto, ON",685000.0,3,3,1200-1399,3.0,3.0,1300.0,3,0
"1005-4101 Sheppard Avenue E, Toronto, ON",595000.0,3,2,1000-1199,3.0,2.0,1100.0,3,0
"419-1029 King St Street W, Toronto, ON",724900.0,1+1,2,800-899,2.0,2.0,850.0,1,1
"301-18 Rean Drive, Toronto, ON",518500.0,1,1,500-599,1.0,1.0,550.0,1,0
"1606-68 Abell Street, Toronto, ON",665000.0,2,2,600-699,2.0,2.0,650.0,2,0
"1001-88 Corporate Drive, Toronto, ON",459000.0,1,1,700-799,1.0,1.0,750.0,1,0
"1606-50 Wellesley Street E, Toronto, ON",750000.0,2,2,700-799,2.0,2.0,750.0,2,0
"825-108 Peter Street, Toronto, ON",749000.0,2+1,2,700-799,3.0,2.0,750.0,2,1
"N419-120 Bayview Avenue, Toronto, ON",1029900.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"609-33 Helendale Avenue, Toronto, ON",499000.0,1,1,500-599,1.0,1.0,550.0,1,0
"1503-4978 Yonge Street, Toronto, ON",749000.0,2+1,2,900-999,3.0,2.0,950.0,2,1
"67 Princemere Crescent, Toronto, ON",888000.0,2+1,2,700-1100,3.0,2.0,900.0,2,1
"19 Graystone Gardens, Toronto, ON",3950000.0,4+2,5,3000-3500,6.0,5.0,3250.0,4,2
"1610-159 Wellesley Street E, Toronto, ON",380000.0,1,1,0-499,1.0,1.0,250.0,1,0
"2107-5 Soudan Avenue, Toronto, ON",669000.0,2,2,600-699,2.0,2.0,650.0,2,0
"2808-45 Charles Street E, Toronto, ON",468000.0,1,1,500-599,1.0,1.0,550.0,1,0
"409-150 Logan Avenue, Toronto, ON",1795000.0,2+1,2,1400-1599,3.0,2.0,1500.0,2,1
"18-1646 Bathurst Street, Toronto, ON",449000.0,1,1,600-699,1.0,1.0,650.0,1,0
"53 Sanwood Boulevard, Toronto, ON",1549000.0,4,3,2000-2500,4.0,3.0,2250.0,4,0
"13 Villa Road, Toronto, ON",1380000.0,2+2,2,700-1100,4.0,2.0,900.0,2,2
"303-225 Bamburgh Circle, Toronto, ON",729900.0,2+1,2,1600-1799,3.0,2.0,1700.0,2,1
"1710-714 The West Mall N/a, Toronto, ON",610000.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"448 Montrose Avenue, Toronto, ON",2998800.0,4+1,5,2000-2500,5.0,5.0,2250.0,4,1
"1338 Victoria Park Avenue, Toronto, ON",799000.0,2+1,2,700-1100,3.0,2.0,900.0,2,1
"7-10 Buller Avenue, Toronto, ON",1280000.0,3,2,1400-1599,3.0,2.0,1500.0,3,0
"203-2285 Lake Shore Boulevard W, Toronto, ON",548800.0,1,1,800-899,1.0,1.0,850.0,1,0
"302-233 Carlaw Avenue, Toronto, ON",779000.0,1+1,1,700-799,2.0,1.0,750.0,1,1
"225 Catalina Drive, Toronto, ON",1649900.0,3+1,4,1500-2000,4.0,4.0,1750.0,3,1
"8-32 Sentinel Road, Toronto, ON",729000.0,2+1,2,800-899,3.0,2.0,850.0,2,1
"2009-17 Barberry Place, Toronto, ON",608888.0,1+1,2,700-799,2.0,2.0,750.0,1,1
"2508-105 The Queensway Avenue, Toronto, ON",485000.0,1,1,0-499,1.0,1.0,250.0,1,0
"30 Habitant Drive, Toronto, ON",889000.0,4+3,3,1500-2000,7.0,3.0,1750.0,4,3
"720-955 Bay Street, Toronto, ON",499000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"411-160 Kingsway Crescent, Toronto, ON",699900.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"809-190 Borough Drive, Toronto, ON",399000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"741-99 Broadway Avenue, Toronto, ON",900000.0,3,2,900-999,3.0,2.0,950.0,3,0
"612-160 Kingsway Crescent, Toronto, ON",749900.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"808-160 Kingsway Crescent, Toronto, ON",1450900.0,1+1,1,900-999,2.0,1.0,950.0,1,1
"310-160 Kingsway Crescent, Toronto, ON",954800.0,2,2,700-799,2.0,2.0,750.0,2,0
"312-160 Kingsway Crescent, Toronto, ON",1069900.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"101-160 Kingsway Crescent, Toronto, ON",1199900.0,2,2,900-999,2.0,2.0,950.0,2,0
"206-10 Meadowglen Place, Toronto, ON",699999.0,3,2,900-999,3.0,2.0,950.0,3,0
"106-10 Meadowglen Place, Toronto, ON",719900.0,3,2,900-999,3.0,2.0,950.0,3,0
"3207-159 Wellesley Street E, Toronto, ON",759000.0,3,2,800-899,3.0,2.0,850.0,3,0
"LPH5-10 Meadowglen Place, Toronto, ON",680900.0,2+1,2,700-799,3.0,2.0,750.0,2,1
"103-10 Meadowglen Place, Toronto, ON",799000.0,3,2,1000-1199,3.0,2.0,1100.0,3,0
"1405-390 Cherry Street, Toronto, ON",799888.0,2,2,800-899,2.0,2.0,850.0,2,0
"601-10 Meadowglen Place, Toronto, ON",829000.0,3+1,2,1000-1199,4.0,2.0,1100.0,3,1
"208-10 Meadowglen Place, Toronto, ON",729900.0,3,2,900-999,3.0,2.0,950.0,3,0
"22 Wayne Avenue, Toronto, ON",995000.0,3+2,2,700-1100,5.0,2.0,900.0,3,2
"TH509-95 Mcmahon Drive, Toronto, ON",888000.0,3,2,1000-1199,3.0,2.0,1100.0,3,0
"210 Westview Boulevard, Toronto, ON",949000.0,2+1,2,700-1100,3.0,2.0,900.0,2,1
"508-5101 Dundas Street W, Toronto, ON",625000.0,2,2,800-899,2.0,2.0,850.0,2,0
"47-39 Lexington Avenue, Toronto, ON",789900.0,3+1,3,0-499,4.0,3.0,250.0,3,1
"712-330 Mccowan Road, Toronto, ON",685000.0,3+1,2,1200-1399,4.0,2.0,1300.0,3,1
"2603-715 Don Mills Road, Toronto, ON",499900.0,2,1,800-899,2.0,1.0,850.0,2,0
"17 Mourning Dove Crescent, Toronto, ON",899900.0,3+1,3,1100-1500,4.0,3.0,1300.0,3,1
"102-20 Sunrise Avenue, Toronto, ON",595000.0,2,1,800-899,2.0,1.0,850.0,2,0
"1908-238 Simcoe Street, Toronto, ON",999000.0,2+1,2,800-899,3.0,2.0,850.0,2,1
"34 Shippigan Crescent, Toronto, ON",1498000.0,5,3,1500-2000,5.0,3.0,1750.0,5,0
"719-98 Lillian Street, Toronto, ON",779900.0,2,2,800-899,2.0,2.0,850.0,2,0
"806-75 St Nicholas Street, Toronto, ON",498000.0,1,1,500-599,1.0,1.0,550.0,1,0
"65 Tiverton Avenue, Toronto, ON",1649000.0,3,2,2000-2500,3.0,2.0,2250.0,3,0
"802-10 Markbrook Lane, Toronto, ON",589000.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"5 Elmhurst Drive, Toronto, ON",999999.0,4+3,6,3000-3500,7.0,6.0,3250.0,4,3
"1605-35 Merton Street, Toronto, ON",745000.0,2,2,900-999,2.0,2.0,950.0,2,0
