address,price,beds,baths,sqft
"990 Dovercourt Road, Toronto, ON",799000,– ,– ,
"145 Beaconsfield Avenue, Toronto, ON",2299999,4+1 ,4 ,1500-2000 
"78 Chudleigh Avenue, Toronto, ON",2888000,4+1 ,4 ,2000-2500 
"1904-21 Overlea Boulevard, Toronto, ON",473000,1 ,1 ,800-899 
"102-225 Sherway Gardens Road, Toronto, ON",539900,1+1 ,1 ,600-699 
"312-684 Warden Avenue, Toronto, ON",528000,2+1 ,1 ,700-799 
"2101-56 Annie Craig Drive, Toronto, ON",1129900,2+1 ,2 ,1000-1199 
"2007-155 Beecroft Road, Toronto, ON",418888,1 ,1 ,500-599 
"1139 Glengrove Avenue W, Toronto, ON",2345000,3 ,4 ,2500-3000 
"107 Pembroke Street, Toronto, ON",1250000,– ,4 ,100+ years old
"300 Forman Avenue, Toronto, ON",1649000,3 ,2 ,1100-1500 
"213 First Avenue, Toronto, ON",1199000,4 ,3 ,1500-2000 
"231 Grace Street, Toronto, ON",2899000,4 ,5 ,1500-2000 
"42 Sego Royal Way, Toronto, ON",1030000,3+1 ,4 ,1000-1199 
"1403-133 Wynford Drive, Toronto, ON",719000,2+1 ,2 ,1000-1199 
"27-165 Tapscott Road N, Toronto, ON",599999,2 ,2 ,1000-1199 
"479 Hounslow Avenue, Toronto, ON",2899900,5 ,5 ,3500-5000 
"7 Kennaley Crescent, Toronto, ON",1100000,3 ,3 ,1500-2000 
"4727 Sheppard Avenue, Toronto, ON",590000,2 ,2 ,1000-1199 
"79 Foxwell Street, Toronto, ON",1380000,3+1 ,3 ,1500-2000 
"169 King Edward Avenue, Toronto, ON",1260000,3 ,4 ,1100-1500 
"88 Lawrence Crescent, Toronto, ON",10798000,5+2 ,9 ,5000 + 
"60 Keane Avenue, Toronto, ON",2149998,4+1 ,5 ,2500-3000 
"106 Laughton Avenue, Toronto, ON",1300000,4+2 ,3 ,1500-2000 
"1009-99 The Donway N/a W, Toronto, ON",688000,2 ,2 ,700-799 
"1811-33 Singer Court, Toronto, ON",598000,2+1 ,2 ,1000-1199 
"29 Talara Drive, Toronto, ON",1399900,3+1 ,3 ,1100-1500 
"27 Moorehouse Drive, Toronto, ON",899000,3+2 ,4 ,1100-1500 
"80 Cocksfield Avenue, Toronto, ON",1399000,3 ,3 ,1100-1500 
"191 Emerson Avenue, Toronto, ON",799900,3 ,2 ,700-1100 
"33 Tollgate Mews, Toronto, ON",799900,3 ,3 ,1100-1500 
"10 Vermont Avenue, Toronto, ON",3150000,4+2 ,4 ,3500-5000 
"925-3 Greystone Walk Drive, Toronto, ON",399000,2 ,1 ,800-899 
"9-3900 Yonge Street, Toronto, ON",999888,2 ,2 ,1000-1199 
"406-1 Hillsdale Avenue W, Toronto, ON",1159990,1+1 ,2 ,700-799 
"901-35 Empress Avenue, Toronto, ON",648000,1+1 ,1 ,700-799 
"401-30 Tretti Way, Toronto, ON",495000,1 ,1 ,0-499 
"1808-44 Gerrard Street W, Toronto, ON",599000,2+1 ,2 ,800-899 
"731 Glencairn Avenue, Toronto, ON",2658000,4+1 ,4 ,3000-3500 
"387 Jones Avenue, Toronto, ON",799000,2+2 ,3 ,700-1100 
"14 Louisa Street, Toronto, ON",1299900,3+1 ,3 ,1100-1500 
"130 Glebeholme Boulevard, Toronto, ON",1199000,3 ,1 ,1100-1500 
"12 Highland Crescent, Toronto, ON",,— ,— ,— 
"26 Wardell Street, Toronto, ON",1249000,3+1 ,3 ,1100-1500 
"160 Forest Hill Road, Toronto, ON",14988000,3+1 ,1 ,5000 + 
"158 Waterloo Avenue, Toronto, ON",2968000,4+1 ,6 ,3000-3500 
"12 Otter Crescent, Toronto, ON",4218000,4+1 ,5 ,2500-3000 
"102 Jarwick Drive, Toronto, ON",998000,3+4 ,4 ,1100-1500 
"381 St Clarens Avenue, Toronto, ON",,— ,— ,— 
"50 Fernando Road, Toronto, ON",959000,3+1 ,2 ,700-1100 
"1104-820 Burnhamthorpe Road, Toronto, ON",899888,3 ,2 ,1200-1399 
"272 Sterling Road, Toronto, ON",900000,2+1 ,2 ,1100-1500 
"5008-1 Yorkville Avenue, Toronto, ON",865000,2 ,2 ,600-699 
"912-10 Sunny Glenway, Toronto, ON",399000,1 ,1 ,500-599 
"4-35 Dekoven Mews, Toronto, ON",849900,1+1 ,2 ,800-899 
"1701-1350 York Mills Road, Toronto, ON",399000,2 ,1 ,700-799 
"39-1209 Queen Street E, Toronto, ON",775000,3 ,2 ,1000-1199 
"275 Kenilworth Avenue, Toronto, ON",1595000,3+1 ,2 ,1500-2000 
"4 Robinter Drive, Toronto, ON",1799000,4+2 ,4 ,1500-2000 
"335 Blackthorn Avenue, Toronto, ON",575000,3+1 ,2 ,1100-1500 
"61 Cordella Avenue, Toronto, ON",999000,3+1 ,2 ,1100-1500 
"46 Fermanagh Avenue, Toronto, ON",1499000,3 ,2 ,1100-1500 
"1208-575 Bloor Street E, Toronto, ON",809000,2 ,2 ,700-799 
"1620-700 Humberwood Boulevard E, Toronto, ON",615000,2 ,2 ,800-899 
"40 Corley Avenue, Toronto, ON",998000,2 ,2 ,700-1100 
"3 Marigold Avenue, Toronto, ON",999000,3+1 ,4 ,1100-1500 
"1006-1 Hillsdale Avenue W, Toronto, ON",2319990,3 ,2 ,1400-1599 
"908-225 Sackville Street, Toronto, ON",,— ,— ,— 
"2304-75 St Nicholas Street, Toronto, ON",849000,2 ,2 ,700-799 
"6104-180 University Avenue, Toronto, ON",3499000,2+1 ,3 ,2000-2249 
"61 Binswood Avenue, Toronto, ON",1088000,4+1 ,2 ,1100-1500 
"290 Russell Hill Road, Toronto, ON",6350000,6+1 ,7 ,5000 + 
"114 Branstone Road, Toronto, ON",799000,3 ,2 ,1100-1500 
"1122 Islington Avenue W, Toronto, ON",2950000,– ,– ,
"178 Browning Avenue, Toronto, ON",1499000,4 ,2 ,1500-2000 
"85 Mackenzie Crescent, Toronto, ON",1521000,5 ,1 ,1500-2000 
"44 Burnelm Drive, Toronto, ON",1448000,3+1 ,2 ,700-1100 
"11 Berryman Street, Toronto, ON",2595000,3+1 ,3 ,2500-3000 
"1004-85 The Donway N/a W, Toronto, ON",835000,3 ,2 ,1000-1199 
"1612-68 Grangeway Avenue, Toronto, ON",569900,2 ,2 ,800-899 
"301-30 Glen Elm Avenue, Toronto, ON",899000,2 ,2 ,1000-1199 
"915-90 Park Lawn Road, Toronto, ON",629000,1+1 ,1 ,600-699 
"1807-38 Forest Manor Road, Toronto, ON",599888,2+1 ,2 ,800-899 
"14 Oriole Gardens, Toronto, ON",7280000,5 ,6 ,3500-5000 
"49 Elmcrest Road, Toronto, ON",1099000,4 ,4 ,2500-3000 
"24 Rolph Road, Toronto, ON",1699000,3 ,2 ,1100-1500 
"56 Frost Street, Toronto, ON",899000,3+1 ,2 ,1100-1500 
"64 Hutcherson Square, Toronto, ON",939900,3+3 ,3 ,700-1100 
"84 Kimbark Boulevard, Toronto, ON",3195000,4+1 ,4 ,2000-2500 
"29-1730 Albion Road, Toronto, ON",699900,3+2 ,3 ,1200-1399 
"2261 Dundas Street W, Toronto, ON",3800000,– ,8 ,
"#906-155 Beecroft Road, Toronto, ON",598000,2 ,1 ,700-799 
"15-851 Sheppard Avenue W, Toronto, ON",599000,2 ,2 ,800-899 
"2705-1555 Finch Avenue E, Toronto, ON",999000,2+1 ,2 ,1600-1799 
"209-660 Pape Avenue, Toronto, ON",848000,1+1 ,2 ,900-999 
"3232-68 Corporate Drive, Toronto, ON",599900,2+1 ,2 ,900-999 
"106 Grandravine Drive, Toronto, ON",999900,4 ,3 ,1500-2000 
"39 Rolyat Street, Toronto, ON",1879000,3+1 ,4 ,1100-1500 
"83 Ardagh Street, Toronto, ON",1689000,3 ,2 ,1100-1500 
"11 Donegall Drive, Toronto, ON",1999900,3 ,2 ,1100-1500 
"#1111-28 Olive Avenue, Toronto, ON",,— ,— ,— 
"53 Bowie Avenue, Toronto, ON",919000,2+1 ,2 ,700-1100 
"260 Shaw Street, Toronto, ON",1399000,2+1 ,2 ,1500-2000 
"1110-50 Forest Manor Road, Toronto, ON",659000,2 ,2 ,700-799 
"141 Gillard Avenue, Toronto, ON",1099000,3 ,2 ,1100-1500 
"1017-1830 Bloor Street W, Toronto, ON",700000,1+1 ,2 ,600-699 
"276 Wychwood Avenue, Toronto, ON",,— ,— ,— 
"120 Withrow Avenue, Toronto, ON",899000,2 ,2 ,700-1100 
"4904-28 Freeland Street, Toronto, ON",900000,1+1 ,1 ,600-699 
"303-363 Sorauren Avenue, Toronto, ON",859000,1 ,1 ,800-899 
"1804-121 Ling Road, Toronto, ON",499000,2 ,2 ,900-999 
"261 Monarch Park Avenue, Toronto, ON",1028000,2 ,1 ,700-1100 
"309-716 The West Mall N/a, Toronto, ON",645000,2+1 ,2 ,1200-1399 
"416-2300 St. Clair Avenue W, Toronto, ON",569000,1+1 ,2 ,600-699 
"68 Boulton Avenue, Toronto, ON",1599000,3+1 ,3 ,2500-3000 
"2306-20 Tubman Avenue, Toronto, ON",609999,1+1 ,1 ,600-699 
"81 Winter Gardens Trail, Toronto, ON",998800,3+1 ,3 ,1100-1500 
"44 Candlebrook Crescent, Toronto, ON",1529000,4+1 ,4 ,2000-2500 
"72 Pembroke Street, Toronto, ON",1825000,5+2 ,7 ,1500-2000 
"1102-35 Mariner Terrace, Toronto, ON",599000,1+1 ,1 ,600-699 
"57 Chamberlain Avenue, Toronto, ON",799000,2+2 ,2 ,< 700 
"23-93 The Queensway N/a, Toronto, ON",558888,2 ,2 ,600-699 
"166 Bingham Avenue, Toronto, ON",1199000,4 ,2 ,1100-1500 
"673 Durie Street, Toronto, ON",1099000,3 ,2 ,1100-1500 
"104 Scarboro Beach Boulevard, Toronto, ON",1299000,3+1 ,2 ,1100-1500 
"50 Leacroft Crescent, Toronto, ON",4960000,5+2 ,7 ,3500-5000 
"27-15 Brimwood Boulevard, Toronto, ON",699000,4+3 ,2 ,1400-1599 
"5309-55 Cooper Street, Toronto, ON",998000,2 ,2 ,800-899 
"221 Yarmouth Road, Toronto, ON",799000,3+2 ,2 ,700-1100 
"2607-85 Wood Street, Toronto, ON",619900,1+1 ,1 ,500-599 
"694 Conacher Drive, Toronto, ON",2088000,5+1 ,4 ,2000-2500 
"8 Silver Birch Avenue, Toronto, ON",2299000,3+1 ,2 ,1500-2000 
"148 Parliament Street, Toronto, ON",1500000,2+1 ,3 ,1100-1500 
"205B-4438 Sheppard Avenue E, Toronto, ON",89000,– ,– ,
"47 Flavian Crescent, Toronto, ON",1088000,3 ,2 ,1100-1500 
"35 Crittenden Square, Toronto, ON",835000,4 ,1 ,1100-1500 
"19-2606 Midland Avenue, Toronto, ON",799900,3 ,3 ,1200-1399 
"915-125 Western Battery Road, Toronto, ON",828800,2+1 ,2 ,800-899 
"2103-18 Yorkville Avenue, Toronto, ON",499000,1 ,1 ,0-499 
"909-1070 Sheppard Avenue W, Toronto, ON",599000,1+1 ,2 ,700-799 
"352-8855 Sheppard Avenue E, Toronto, ON",699900,2+1 ,3 ,1000-1199 
"323-25 Greenview Avenue, Toronto, ON",488000,1+1 ,1 ,600-699 
"2204-18 Yonge Street, Toronto, ON",349900,– ,1 ,0-499 
"415-890 Sheppard Avenue W, Toronto, ON",675000,2 ,2 ,900-999 
"2103-8 Widmer Street, Toronto, ON",589000,2 ,2 ,600-699 
"285 Huntsmill Boulevard, Toronto, ON",1180000,4+1 ,4 ,2000-2500 
"461 Bathurst Street, Toronto, ON",1170000,4+1 ,4 ,1500-2000 
"31 Frederick Tisdale Drive, Toronto, ON",1150000,5+1 ,5 ,3000-3500 
"1326 Victoria Park Avenue, Toronto, ON",1099000,4+2 ,2 ,1100-1500 
"67 Montressor Drive N, Toronto, ON",5599000,4+1 ,7 ,5000 + 
"1606-62 Forest Manor Road, Toronto, ON",628000,1+1 ,1 ,600-699 
"703-200 Sackville Street, Toronto, ON",699900,2 ,2 ,700-799 
"805-278 Bloor Street E, Toronto, ON",1799900,3 ,2 ,1800-1999 
"1715-480 Front Street W, Toronto, ON",1595000,2 ,2 ,0-499 
"318-38 Dan Leckie Way, Toronto, ON",589999,1+1 ,1 ,700-799 
"39 Wolfrey Avenue, Toronto, ON",1900000,2 ,2 ,1500-2000 
"35 Cambrai Avenue, Toronto, ON",975999,3 ,2 ,1100-1500 
"4 Northumberland Street, Toronto, ON",1299000,3+1 ,3 ,1100-1500 
"2 Lesgay Crescent, Toronto, ON",1398800,3+1 ,2 ,1100-1500 
"2906-18 Yorkville Avenue, Toronto, ON",628800,1 ,1 ,0-499 
"3 Shady Oaks Crescent, Toronto, ON",4500000,3+2 ,6 ,2500-3000 
"715 Vaughan Road, Toronto, ON",799900,3+1 ,2 ,1100-1500 
"258 Gamma Street, Toronto, ON",1089900,2 ,2 ,700-1100 
"93 Argyle Street, Toronto, ON",2050000,3 ,3 ,1100-1500 
"PH04-1171 Queen Street W, Toronto, ON",999000,2 ,2 ,1000-1199 
"405-25 Neighbourhood Lane, Toronto, ON",399900,1+1 ,1 ,600-699 
"2206-105 The Queensway N/a, Toronto, ON",489990,1 ,1 ,0-499 
"1808-251 Manitoba Street, Toronto, ON",649900,2 ,2 ,700-799 
"1022-575 Bloor Street E, Toronto, ON",766900,2 ,1 ,800-899 
"4 Weldon Court, Toronto, ON",,— ,— ,— 
"46 Cardigan Road, Toronto, ON",1719000,3+1 ,2 ,1100-1500 
"703-710 Humberwood Boulevard, Toronto, ON",528000,2 ,1 ,600-699 
"522-95 Prince Arthur Avenue, Toronto, ON",1059000,2+1 ,2 ,1000-1199 
"901-32 Davenport Road, Toronto, ON",469000,– ,1 ,0-499 
"373 Ellis Park Road, Toronto, ON",1798000,3 ,2 ,1100-1500 
"528-109 Front Street E, Toronto, ON",674900,1 ,2 ,700-799 
"52 Burkwood Crescent, Toronto, ON",789900,4+1 ,2 ,1100-1500 
"490 Queen Street W, Toronto, ON",4580000,– ,– ,
"821-270 Dufferin Street, Toronto, ON",499000,1 ,1 ,0-499 
"79 Condor Avenue, Toronto, ON",,— ,— ,— 
"408-1 Cardiff Road, Toronto, ON",,— ,— ,— 
"78 Gerrard Street W, Toronto, ON",2180000,– ,1 ,
"2015-38 Dan Leckie Way, Toronto, ON",658000,1+1 ,1 ,600-699 
"193 Wedgewood Drive, Toronto, ON",3490000,4+2 ,6 ,3500-5000 
"2705-15 Fort York Boulevard, Toronto, ON",449900,1 ,1 ,500-599 
"805-36 Forest Manor Road, Toronto, ON",699999,2+1 ,2 ,800-899 
"1107-576 Front Street W, Toronto, ON",950000,2 ,2 ,900-999 
"840 Richmond Street W, Toronto, ON",3656000,3 ,4 ,2500-3000 
"57 Stephen Drive, Toronto, ON",1425000,3 ,3 ,1100-1500 
"14 Kirby Road, Toronto, ON",799000,4+2 ,3 ,1100-1500 
"21 Galbraith Avenue, Toronto, ON",788000,2+1 ,2 ,700-1100 
"2213-170 Sumach Street, Toronto, ON",575000,1 ,1 ,500-599 
"714 Willard Avenue, Toronto, ON",1589000,3+2 ,4 ,1500-2000 
"8 Manor Haven Road, Toronto, ON",3289000,4+1 ,6 ,3000-3500 
"4904-88 Harbour Street, Toronto, ON",879999,2 ,2 ,700-799 
"40 Patika Avenue, Toronto, ON",849000,3+1 ,3 ,1100-1500 
"207-757 Victoria Park Avenue, Toronto, ON",649000,2 ,2 ,1000-1199 
"328-665 Kennedy Road, Toronto, ON",485000,3 ,2 ,1200-1399 
"71 Madelaine Avenue, Toronto, ON",898900,3 ,2 ,1100-1500 
"118 Eastwood Boulevard, Toronto, ON",2300000,– ,6 ,
"2009-100 Western Battery Road, Toronto, ON",839999,2 ,2 ,800-899 
"60A Sentinel Road, Toronto, ON",1069000,4+1 ,3 ,1500-2000 
"2312-501 Yonge Street, Toronto, ON",998000,3 ,2 ,900-999 
"908-25 Holly Street, Toronto, ON",759000,2 ,2 ,600-699 
"43 Douglas Crescent, Toronto, ON",8300000,4 ,5 ,2500-3000 
"150-4662 Kingston Road, Toronto, ON",699000,4 ,2 ,1200-1399 
